,Deployment.ID1,Deployment.ID,Image.Sequence.ID,Image.ID,Location,Image.File.Name,Photo.Type,Photo.Type.Identified.by,Genus.Species,Species.Common.Name,TSN.ID,IUCN.ID,IUCN.Status,Date.Time,Interest.Rank,Age,Count,Animal.recognizable,Individual.Animal.Notes,Digital.Origin,Embargo.Period,Restrictions.on.Access,Image.Use.Restrictions
1376,d34171,L-WL16-G07A,,L-WL16-G07A-0779,,IMAG0779,,,Turdus mupinensis,Chinese Thrush,,,,7/1/2016 11:51,,,1,,,,,,
1389,d34171,L-WL16-G07A,,L-WL16-G07A-0797,,IMAG0797,,,Turdus mupinensis,Chinese Thrush,,,,7/2/2016 14:02,,,1,,,,,,
1390,d34171,L-WL16-G07A,,L-WL16-G07A-0798,,IMAG0798,,,Turdus mupinensis,Chinese Thrush,,,,7/2/2016 14:02,,,1,,,,,,
1391,d34171,L-WL16-G07A,,L-WL16-G07A-0799,,IMAG0799,,,Turdus mupinensis,Chinese Thrush,,,,7/2/2016 14:02,,,1,,,,,,
1395,d34171,L-WL16-G07A,,L-WL16-G07A-0805,,IMAG0805,,,Turdus mupinensis,Chinese Thrush,,,,7/3/2016 11:17,,,1,,,,,,
1396,d34171,L-WL16-G07A,,L-WL16-G07A-0806,,IMAG0806,,,Turdus mupinensis,Chinese Thrush,,,,7/3/2016 11:17,,,1,,,,,,
1397,d34171,L-WL16-G07A,,L-WL16-G07A-0807,,IMAG0807,,,Turdus mupinensis,Chinese Thrush,,,,7/3/2016 11:17,,,1,,,,,,
1398,d34171,L-WL16-G07A,,L-WL16-G07A-0809,,IMAG0809,,,Turdus mupinensis,Chinese Thrush,,,,7/3/2016 11:18,,,1,,,,,,
1399,d34171,L-WL16-G07A,,L-WL16-G07A-0810,,IMAG0810,,,Turdus mupinensis,Chinese Thrush,,,,7/3/2016 11:18,,,1,,,,,,
1400,d34171,L-WL16-G07A,,L-WL16-G07A-0811,,IMAG0811,,,Turdus mupinensis,Chinese Thrush,,,,7/3/2016 11:18,,,1,,,,,,
1401,d34171,L-WL16-G07A,,L-WL16-G07A-0813,,IMAG0813,,,Turdus mupinensis,Chinese Thrush,,,,7/3/2016 11:19,,,1,,,,,,
1402,d34171,L-WL16-G07A,,L-WL16-G07A-0814,,IMAG0814,,,Turdus mupinensis,Chinese Thrush,,,,7/3/2016 11:19,,,1,,,,,,
1403,d34171,L-WL16-G07A,,L-WL16-G07A-0815,,IMAG0815,,,Turdus mupinensis,Chinese Thrush,,,,7/3/2016 11:19,,,1,,,,,,
1404,d34171,L-WL16-G07A,,L-WL16-G07A-0817,,IMAG0817,,,Turdus mupinensis,Chinese Thrush,,,,7/4/2016 7:23,,,1,,,,,,
1405,d34171,L-WL16-G07A,,L-WL16-G07A-0818,,IMAG0818,,,Turdus mupinensis,Chinese Thrush,,,,7/4/2016 7:23,,,1,,,,,,
1406,d34171,L-WL16-G07A,,L-WL16-G07A-0819,,IMAG0819,,,Turdus mupinensis,Chinese Thrush,,,,7/4/2016 7:23,,,2,,,,,,
