,BINOMIAL:,CITATION:,FAMILY:,GENUS:,COMMON:,TSN:,IUCN_ID:,ORDER:,IUCN_STATUS:,CLASS:
ortalis vetula,Ortalis vetula,Birdlife International 2011,CRACIDAE,Ortalis,Plain Chachalaca,175716,22678305,GALLIFORMES,LC,AVES
ortalis wagleri,Ortalis wagleri,Birdlife International 2011,CRACIDAE,Ortalis,Rufous-bellied Chachalaca,553806,22678322,GALLIFORMES,LC,AVES
patagioenas cayennensis,Patagioenas cayennensis,IUCN (International Union for Conservation of Nature),COLUMBIDAE,Patagioenas,Pale-vented Pigeon,676897,22690290,COLUMBIFORMES,LC,AVES
patagioenas nigrirostris,Patagioenas nigrirostris,IUCN (International Union for Conservation of Nature),COLUMBIDAE,Patagioenas,Short-billed Pigeon,676905,22690290,COLUMBIFORMES,LC,AVES
pauxi pauxi,Pauxi pauxi,Birdlife International 2011,CRACIDAE,Pauxi,Helmeted Curassow,553818,22678497,GALLIFORMES,EN,AVES
pelecanus erythrorhynchos,Pelecanus erythrorhynchos,"Gmelin, 1789",PELECANIDAE,PELECANUS,American White Pelican,174684,9990006,PELECANIFORMES,LC,AVES
peliperdix albogularis,Peliperdix albogularis,Birdlife International 2011,PHASIANIDAE,Francolinus,White-throated Francolin,175965,22678740,GALLIFORMES,LC,AVES
peliperdix coqui,Peliperdix coqui,Birdlife International 2011,PHASIANIDAE,Francolinus,Coqui Francolin,175971,22678736,GALLIFORMES,LC,AVES
peliperdix lathami,Peliperdix lathami,Birdlife International 2011,PHASIANIDAE,Francolinus,Forest Francolin,175982,22678748,GALLIFORMES,LC,AVES
peliperdix schlegelii,Peliperdix schlegelii,Birdlife International 2011,PHASIANIDAE,Francolinus,Schlegel's Francolin,175995,22678744,GALLIFORMES,LC,AVES
penelope albipennis,Penelope albipennis,Birdlife International 2011,CRACIDAE,Penelope,White-winged Guan,175728,22678382,GALLIFORMES,CR,AVES
penelope argyrotis,Penelope argyrotis,Birdlife International 2011,CRACIDAE,Penelope,Band-tailed Guan,175730,22678354,GALLIFORMES,LC,AVES
penelope barbata,Penelope barbata,Birdlife International 2011,CRACIDAE,Penelope,Bearded Guan,175729,22678357,GALLIFORMES,VU,AVES
penelope dabbenei,Penelope dabbenei,Birdlife International 2011,CRACIDAE,Penelope,Red-faced Guan,175731,22678373,GALLIFORMES,LC,AVES
penelope jacquacu,Penelope jacquacu,Birdlife International 2011,CRACIDAE,Penelope,Spix's Guan,175732,22678386,GALLIFORMES,LC,AVES
penelope jacucaca,Penelope jacucaca,Birdlife International 2011,CRACIDAE,Penelope,White-browed Guan,175733,22678398,GALLIFORMES,VU,AVES
penelope marail,Penelope marail,Birdlife International 2011,CRACIDAE,Penelope,Marail Guan,175734,22678367,GALLIFORMES,LC,AVES
